source_path,new_path,status,notes
/destinations/delhi,/hotels-in-delhi,200,
/destinations/jaipur,/hotels-in-jaipur,200,
/our-destinations/hotels-in-jaipur.html,/hotels-in-jaipur,308->200,redirected to /hotels-in-jaipur
/destinations/goa,/hotels-in-goa,200,
/our-destinations/hotels-in-goa.html,/hotels-in-goa,308->200,redirected to /hotels-in-goa
/destinations/mumbai,/hotels-in-mumbai,200,
/our-destinations/hotels-in-mumbai.html,/hotels-in-mumbai,308->200,redirected to /hotels-in-mumbai
/destinations/shimla,/hotels-in-shimla,200,
/destinations/rishikesh,/hotels-in-rishikesh,200,
/destinations/jim-corbett,/hotels-in-jim-corbett,200,
/our-destinations/hotels-in-jim-corbett.html,/hotels-in-jim-corbett,308->200,redirected to /hotels-in-jim-corbett
/destinations/ahmedabad,/hotels-in-ahmedabad,200,
/our-destinations/hotels-in-ahmedabad.html,/hotels-in-ahmedabad,308->200,redirected to /hotels-in-ahmedabad
/destinations/agra,/hotels-in-agra,200,
/our-destinations/hotels-in-agra.html,/hotels-in-agra,308->200,redirected to /hotels-in-agra
/destinations/dibrugarh,/hotels-in-dibrugarh,200,
/our-destinations/hotels-in-dibrugarh.html,/hotels-in-dibrugarh,308->200,redirected to /hotels-in-dibrugarh
/destinations/faridabad,/hotels-in-faridabad,200,
/our-destinations/hotels-in-faridabad.html,/hotels-in-faridabad,308->200,redirected to /hotels-in-faridabad
/destinations/ghaziabad-vaishali,/hotels-in-ghaziabad-vaishali,200,
/our-destinations/hotels-in-ghaziabad--vaishali.html,/hotels-in-ghaziabad-vaishali,308->200,redirected to /hotels-in-ghaziabad-vaishali
/destinations/gandhidham,/hotels-in-gandhidham,200,
/our-destinations/hotels-in-gandhidham.html,/hotels-in-gandhidham,308->200,redirected to /hotels-in-gandhidham
/destinations/gorakhpur,/hotels-in-gorakhpur,200,
/our-destinations/hotels-in-gorakhpur.html,/hotels-in-gorakhpur,308->200,redirected to /hotels-in-gorakhpur
/destinations/hanumangarh,/hotels-in-hanumangarh,200,
/our-destinations/hotels-in-hanumangarh.html,/hotels-in-hanumangarh,308->200,redirected to /hotels-in-hanumangarh
/destinations/gurugram,/hotels-in-gurugram,200,
/our-destinations/hotels-in-gurugram.html,/hotels-in-gurugram,308->200,redirected to /hotels-in-gurugram
/destinations/hargeisa,/hotels-in-hargeisa,200,
/our-destinations/hotels-in-hargeisa.html,/hotels-in-hargeisa,308->200,redirected to /hotels-in-hargeisa
/destinations/haridwar,/hotels-in-haridwar,200,
/our-destinations/hotels-in-haridwar.html,/hotels-in-haridwar,308->200,redirected to /hotels-in-haridwar
/destinations/hyderabad,/hotels-in-hyderabad,200,
/our-destinations/hotels-in-hyderabad.html,/hotels-in-hyderabad,308->200,redirected to /hotels-in-hyderabad
/destinations/indore,/hotels-in-indore,200,
/our-destinations/hotels-in-indore.html,/hotels-in-indore,308->200,redirected to /hotels-in-indore
/destinations/jalandhar,/hotels-in-jalandhar,200,
/our-destinations/hotels-in-jalandhar.html,/hotels-in-jalandhar,308->200,redirected to /hotels-in-jalandhar
/destinations/jaisalmer,/hotels-in-jaisalmer,200,
/our-destinations/hotels-in-jaisalmer.html,/hotels-in-jaisalmer,308->200,redirected to /hotels-in-jaisalmer
/destinations/jammu,/hotels-in-jammu,200,
/our-destinations/hotels-in-jammu.html,/hotels-in-jammu,308->200,redirected to /hotels-in-jammu
/destinations/jhansi,/hotels-in-jhansi,200,
/our-destinations/hotels-in-jhansi.html,/hotels-in-jhansi,308->200,redirected to /hotels-in-jhansi
/destinations/jodhpur,/hotels-in-jodhpur,200,
/our-destinations/hotels-in-jodhpur.html,/hotels-in-jodhpur,308->200,redirected to /hotels-in-jodhpur
/destinations/junagadh,/hotels-in-junagadh,200,
/our-destinations/hotels-in-junagadh.html,/hotels-in-junagadh,308->200,redirected to /hotels-in-junagadh
/destinations/kathmandu,/hotels-in-kathmandu,200,
/our-destinations/hotels-in-kathmandu.html,/hotels-in-kathmandu,308->200,redirected to /hotels-in-kathmandu
/destinations/kampala,/hotels-in-kampala,200,
/our-destinations/hotels-in-kampala.html,/hotels-in-kampala,308->200,redirected to /hotels-in-kampala
/destinations/katra,/hotels-in-katra,200,
/our-destinations/hotels-in-katra.html,/hotels-in-katra,308->200,redirected to /hotels-in-katra
/destinations/kochi,/hotels-in-kochi,200,
/our-destinations/hotels-in-kochi.html,/hotels-in-kochi,308->200,redirected to /hotels-in-kochi
/destinations/kolkata,/hotels-in-kolkata,200,
/our-destinations/hotels-in-kolkata.html,/hotels-in-kolkata,308->200,redirected to /hotels-in-kolkata
/destinations/kota,/hotels-in-kota,200,
/our-destinations/hotels-in-kota.html,/hotels-in-kota,308->200,redirected to /hotels-in-kota
/destinations/lucknow,/hotels-in-lucknow,200,
/our-destinations/hotels-in-lucknow.html,/hotels-in-lucknow,308->200,redirected to /hotels-in-lucknow
/destinations/latur,/hotels-in-latur,200,
/our-destinations/hotels-in-latur.html,/hotels-in-latur,308->200,redirected to /hotels-in-latur
/destinations/ludhiana,/hotels-in-ludhiana,200,
/our-destinations/hotels-in-ludhiana.html,/hotels-in-ludhiana,308->200,redirected to /hotels-in-ludhiana
/destinations/manali,/hotels-in-manali,200,
/our-destinations/hotels-in-manali.html,/hotels-in-manali,308->200,redirected to /hotels-in-manali
/destinations/lusaka-zambia,/hotels-in-lusaka-zambia,200,
/our-destinations/hotels-in-lusaka---zambia.html,/hotels-in-lusaka-zambia,308->200,redirected to /hotels-in-lusaka-zambia
/destinations/mathura-vrindavan,/hotels-in-mathura-vrindavan,200,
/our-destinations/hotels-in-mathura---vrindavan.html,/hotels-in-mathura-vrindavan,308->200,redirected to /hotels-in-mathura-vrindavan
/destinations/mashobra-shimla,/hotels-in-mashobra-shimla,200,
/our-destinations/hotels-in-mashobra-shimla.html,/hotels-in-mashobra-shimla,308->200,redirected to /hotels-in-mashobra-shimla
/destinations/morbi,/hotels-in-morbi,200,
/our-destinations/hotels-in-morbi.html,/hotels-in-morbi,308->200,redirected to /hotels-in-morbi
/destinations/mussoorie,/hotels-in-mussoorie,200,
/our-destinations/hotels-in-mussoorie.html,/hotels-in-mussoorie,308->200,redirected to /hotels-in-mussoorie
/destinations/mysore,/hotels-in-mysore,200,
/our-destinations/hotels-in-mysore.html,/hotels-in-mysore,308->200,redirected to /hotels-in-mysore
/destinations/nairobi-kenya,/hotels-in-nairobi-kenya,200,
/our-destinations/hotels-in-nairobi-kenya.html,/hotels-in-nairobi-kenya,308->200,redirected to /hotels-in-nairobi-kenya
/destinations/new-delhi,/hotels-in-new-delhi,200,
/our-destinations/hotels-in-new-delhi.html,/hotels-in-new-delhi,308->200,redirected to /hotels-in-new-delhi
/destinations/noida,/hotels-in-noida,200,
/our-destinations/hotels-in-noida.html,/hotels-in-noida,308->200,redirected to /hotels-in-noida
/destinations/orai,/hotels-in-orai,200,
/our-destinations/hotels-in-orai.html,/hotels-in-orai,308->200,redirected to /hotels-in-orai
/destinations/pahalgam,/hotels-in-pahalgam,200,
/our-destinations/hotels-in-pahalgam.html,/hotels-in-pahalgam,308->200,redirected to /hotels-in-pahalgam
/destinations/panipat,/hotels-in-panipat,200,
/our-destinations/hotels-in-panipat.html,/hotels-in-panipat,308->200,redirected to /hotels-in-panipat
/destinations/palampur,/hotels-in-palampur,200,
/our-destinations/hotels-in-palampur.html,/hotels-in-palampur,308->200,redirected to /hotels-in-palampur
/destinations/patkote,/hotels-in-patkote,200,
/our-destinations/hotels-in-patkote.html,/hotels-in-patkote,308->200,redirected to /hotels-in-patkote
/destinations/pathankot,/hotels-in-pathankot,200,
/our-destinations/hotels-in-pathankot.html,/hotels-in-pathankot,308->200,redirected to /hotels-in-pathankot
/destinations/pondicherry,/hotels-in-pondicherry,200,
/our-destinations/hotels-in-pondicherry.html,/hotels-in-pondicherry,308->200,redirected to /hotels-in-pondicherry
/destinations/pilibhit,/hotels-in-pilibhit,200,
/our-destinations/hotels-in-pilibhit.html,/hotels-in-pilibhit,308->200,redirected to /hotels-in-pilibhit
/destinations/raipur,/hotels-in-raipur,200,
/our-destinations/hotels-in-raipur.html,/hotels-in-raipur,308->200,redirected to /hotels-in-raipur
/destinations/poovar-island-kerala,/hotels-in-poovar-island-kerala,200,
/our-destinations/hotels-in-poovar-island---kerala.html,/hotels-in-poovar-island-kerala,308->200,redirected to /hotels-in-poovar-island-kerala
/destinations/ranchi,/hotels-in-ranchi,200,
/our-destinations/hotels-in-ranchi.html,/hotels-in-ranchi,308->200,redirected to /hotels-in-ranchi
/destinations/rajkot,/hotels-in-rajkot,200,
/our-destinations/hotels-in-rajkot.html,/hotels-in-rajkot,308->200,redirected to /hotels-in-rajkot
/destinations/roorkee,/hotels-in-roorkee,200,
/our-destinations/hotels-in-roorkee.html,/hotels-in-roorkee,308->200,redirected to /hotels-in-roorkee
/destinations/saharanpur,/hotels-in-saharanpur,200,
/our-destinations/hotels-in-saharanpur.html,/hotels-in-saharanpur,308->200,redirected to /hotels-in-saharanpur
/destinations/secunderabad,/hotels-in-secunderabad,200,
/our-destinations/hotels-in-secunderabad.html,/hotels-in-secunderabad,308->200,redirected to /hotels-in-secunderabad
/destinations/shrawasti,/hotels-in-shrawasti,200,
/our-destinations/hotels-in-shrawasti.html,/hotels-in-shrawasti,308->200,redirected to /hotels-in-shrawasti
/destinations/siliguri,/hotels-in-siliguri,200,
/our-destinations/hotels-in-siliguri.html,/hotels-in-siliguri,308->200,redirected to /hotels-in-siliguri
/destinations/sindhudurg,/hotels-in-sindhudurg,200,
/our-destinations/hotels-in-sindhudurg.html,/hotels-in-sindhudurg,308->200,redirected to /hotels-in-sindhudurg
/destinations/solapur,/hotels-in-solapur,200,
/our-destinations/hotels-in-solapur.html,/hotels-in-solapur,308->200,redirected to /hotels-in-solapur
/destinations/somnath,/hotels-in-somnath,200,
/our-destinations/hotels-in-somnath.html,/hotels-in-somnath,308->200,redirected to /hotels-in-somnath
/destinations/sonipat,/hotels-in-sonipat,200,
/our-destinations/hotels-in-sonipat.html,/hotels-in-sonipat,308->200,redirected to /hotels-in-sonipat
/destinations/srinagar,/hotels-in-srinagar,200,
/our-destinations/hotels-in-srinagar.html,/hotels-in-srinagar,308->200,redirected to /hotels-in-srinagar
/destinations/sriperumbudur,/hotels-in-sriperumbudur,200,
/our-destinations/hotels-in-sriperumbudur.html,/hotels-in-sriperumbudur,308->200,redirected to /hotels-in-sriperumbudur
/destinations/thiruvananthapuram,/hotels-in-thiruvananthapuram,200,
/our-destinations/hotels-in-thiruvananthapuram.html,/hotels-in-thiruvananthapuram,308->200,redirected to /hotels-in-thiruvananthapuram
/destinations/udaipur,/hotels-in-udaipur,200,
/our-destinations/hotels-in-udaipur.html,/hotels-in-udaipur,308->200,redirected to /hotels-in-udaipur
/destinations/mahabalipuram,/hotels-in-mahabalipuram,200,
/our-destinations/hotel-in-mahabalipuram.html,/hotels-in-mahabalipuram,308->200,redirected to /hotels-in-mahabalipuram
/destinations/alwar,/hotels-in-alwar,200,
/our-destinations/hotels-in-alwar.html,/hotels-in-alwar,308->200,redirected to /hotels-in-alwar
/destinations/ajmer,/hotels-in-ajmer,200,
/our-destinations/hotels-in-ajmer.html,/hotels-in-ajmer,308->200,redirected to /hotels-in-ajmer
/destinations/amritsar,/hotels-in-amritsar,200,
/our-destinations/hotels-in-amritsar.html,/hotels-in-amritsar,308->200,redirected to /hotels-in-amritsar
/destinations/ayodhya,/hotels-in-ayodhya,200,
/our-destinations/hotels-in-ayodhya.html,/hotels-in-ayodhya,308->200,redirected to /hotels-in-ayodhya
/destinations/baddi,/hotels-in-baddi,200,
/our-destinations/hotels-in-baddi.html,/hotels-in-baddi,308->200,redirected to /hotels-in-baddi
/destinations/badrinath,/hotels-in-badrinath,200,
/our-destinations/hotels-in-badrinath.html,/hotels-in-badrinath,308->200,redirected to /hotels-in-badrinath
/destinations/bangalore-bengaluru,/hotels-in-bangalore-bengaluru,200,
/our-destinations/hotels-in-bangalore-bengaluru.html,/hotels-in-bangalore-bengaluru,308->200,redirected to /hotels-in-bangalore-bengaluru
/destinations/bhavnagar,/hotels-in-bhavnagar,200,
/our-destinations/hotels-in-bhavnagar.html,/hotels-in-bhavnagar,308->200,redirected to /hotels-in-bhavnagar
/destinations/bhiwadi,/hotels-in-bhiwadi,200,
/our-destinations/hotels-in-bhiwadi.html,/hotels-in-bhiwadi,308->200,redirected to /hotels-in-bhiwadi
/destinations/bhimtal,/hotels-in-bhimtal,200,
/our-destinations/hotels-in-bhimtal.html,/hotels-in-bhimtal,308->200,redirected to /hotels-in-bhimtal
/destinations/bhubaneswar,/hotels-in-bhubaneswar,200,
/our-destinations/hotels-in-bhubaneswar.html,/hotels-in-bhubaneswar,308->200,redirected to /hotels-in-bhubaneswar
/destinations/bhopal,/hotels-in-bhopal,200,
/our-destinations/hotels-in-bhopal.html,/hotels-in-bhopal,308->200,redirected to /hotels-in-bhopal
/destinations/birgunj-nepal,/hotels-in-birgunj-nepal,200,
/our-destinations/hotels-in-birgunj-nepal.html,/hotels-in-birgunj-nepal,308->200,redirected to /hotels-in-birgunj-nepal
/destinations/bodhgaya,/hotels-in-bodhgaya,200,
/our-destinations/hotels-in-bodhgaya.html,/hotels-in-bodhgaya,308->200,redirected to /hotels-in-bodhgaya
/destinations/chennai,/hotels-in-chennai,200,
/our-destinations/hotels-in-chennai.html,/hotels-in-chennai,308->200,redirected to /hotels-in-chennai
/destinations/chandigarh,/hotels-in-chandigarh,200,
/our-destinations/hotels-in-chandigarh.html,/hotels-in-chandigarh,308->200,redirected to /hotels-in-chandigarh
/destinations/chitwan-nepal,/hotels-in-chitwan-nepal,200,
/our-destinations/hotels-in-chitwan-nepal.html,/hotels-in-chitwan-nepal,308->200,redirected to /hotels-in-chitwan-nepal
/destinations/dalhousie,/hotels-in-dalhousie,200,
/our-destinations/hotels-in-dalhousie.html,/hotels-in-dalhousie,308->200,redirected to /hotels-in-dalhousie
/destinations/deoghar,/hotels-in-deoghar,200,
/our-destinations/hotels-in-deoghar.html,/hotels-in-deoghar,308->200,redirected to /hotels-in-deoghar
/destinations/dehradun,/hotels-in-dehradun,200,
/our-destinations/hotels-in-dehradun.html,/hotels-in-dehradun,308->200,redirected to /hotels-in-dehradun
/destinations/hosur,/hotels-in-hosur,200,
/our-destinations/hotels-in-hosur.html,/hotels-in-hosur,308->200,redirected to /hotels-in-hosur
/destinations/kakinada,/hotels-in-kakinada,200,
/our-destinations/hotels-in-kakinada.html,/hotels-in-kakinada,308->200,redirected to /hotels-in-kakinada
/destinations/navi-mumbai,/hotels-in-navi-mumbai,200,
/our-destinations/hotels-in-navi-mumbai.html,/hotels-in-navi-mumbai,308->200,redirected to /hotels-in-navi-mumbai
/destinations/sasan-gir,/hotels-in-sasan-gir,200,
/our-destinations/hotels-in-sasan-gir.html,/hotels-in-sasan-gir,308->200,redirected to /hotels-in-sasan-gir
/destinations/tirupati,/hotels-in-tirupati,200,
/our-destinations/hotels-in-tirupati.html,/hotels-in-tirupati,308->200,redirected to /hotels-in-tirupati
/hotels/sarovar-premiere-delhi,/hotels-in-delhi/sarovar-premiere-delhi,200,
/hotels/sarovar-portico-jaipur,/hotels-in-jaipur/sarovar-portico-jaipur,200,
/sarovar-portico-jaipur/,/hotels-in-jaipur/sarovar-portico-jaipur,308->404,"redirected to /sarovar-portico-jaipur, which itself failed"
/hotels/sarovar-premiere-goa-beach-resort,/hotels-in-goa/sarovar-premiere-goa-beach-resort,200,
/hotels/sarovar-portico-mumbai,/hotels-in-mumbai/sarovar-portico-mumbai,200,
/hotels/sarovar-regency-shimla,/hotels-in-shimla/sarovar-regency-shimla,200,
/hotels/sarovar-regency-rishikesh,/hotels-in-rishikesh/sarovar-regency-rishikesh,200,
/hotels/sarovar-portico-delhi-aerocity,/hotels-in-delhi/sarovar-portico-delhi-aerocity,200,
/hotels/sarovar-premiere-jaipur-heritage,/hotels-in-jaipur/sarovar-premiere-jaipur-heritage,200,
/hotels/abn-sarovar-portico-jim-corbett,/hotels-in-jim-corbett/abn-sarovar-portico-jim-corbett,200,
/abn-sarovar-portico-jim-corbett/,/hotels-in-jim-corbett/abn-sarovar-portico-jim-corbett,308->404,"redirected to /abn-sarovar-portico-jim-corbett, which itself failed"
/hotels/marigold-sarovar-portico-mashobra-shimla,/hotels-in-mashobra-shimla/marigold-sarovar-portico-mashobra-shimla,200,
/marigold-sarovar-portico-mashobra-shimla/,/hotels-in-mashobra-shimla/marigold-sarovar-portico-mashobra-shimla,308->404,"redirected to /marigold-sarovar-portico-mashobra-shimla, which itself failed"
/hotels/vandhara-sarovar-premiere-patkote,/hotels-in-patkote/vandhara-sarovar-premiere-patkote,200,
/vandhara-sarovar-premiere-patkote/,/hotels-in-patkote/vandhara-sarovar-premiere-patkote,308->404,"redirected to /vandhara-sarovar-premiere-patkote, which itself failed"
/hotels/aditya-hometel-hyderabad,/hotels-in-hyderabad/aditya-hometel-hyderabad,200,
/aditya-hometel-hyderabad/,/hotels-in-hyderabad/aditya-hometel-hyderabad,308->404,"redirected to /aditya-hometel-hyderabad, which itself failed"
/hotels/aditya-park-hyderabad,/hotels-in-hyderabad/aditya-park-hyderabad,200,
/aditya-park-hyderabad/,/hotels-in-hyderabad/aditya-park-hyderabad,308->404,"redirected to /aditya-park-hyderabad, which itself failed"
/hotels/ambrosia-sarovar-portico-haridwar,/hotels-in-haridwar/ambrosia-sarovar-portico-haridwar,200,
/ambrosia-sarovar-portico-haridwar/,/hotels-in-haridwar/ambrosia-sarovar-portico-haridwar,308->404,"redirected to /ambrosia-sarovar-portico-haridwar, which itself failed"
/hotels/ambar-sarovar-portico-gandhidham-hotel,/hotels-in-gandhidham/ambar-sarovar-portico-gandhidham-hotel,200,
/ambar-sarovar-portico-gandhidham-hotel/,/hotels-in-gandhidham/ambar-sarovar-portico-gandhidham-hotel,308->404,"redirected to /ambar-sarovar-portico-gandhidham-hotel, which itself failed"
/hotels/balaji-sarovar-premiere-solapur,/hotels-in-solapur/balaji-sarovar-premiere-solapur,200,
/balaji-sarovar-premiere-solapur/,/hotels-in-solapur/balaji-sarovar-premiere-solapur,308->404,"redirected to /balaji-sarovar-premiere-solapur, which itself failed"
/hotels/bamus-sarovar-portico-kampala,/hotels-in-kampala/bamus-sarovar-portico-kampala,200,
/bamus-sarovar-portico-kampala/,/hotels-in-kampala/bamus-sarovar-portico-kampala,308->404,"redirected to /bamus-sarovar-portico-kampala, which itself failed"
/hotels/bellevue-sarovar-premiere-junagadh,/hotels-in-junagadh/bellevue-sarovar-premiere-junagadh,200,
/bellevue-sarovar-premiere-junagadh/,/hotels-in-junagadh/bellevue-sarovar-premiere-junagadh,308->404,"redirected to /bellevue-sarovar-premiere-junagadh, which itself failed"
/hotels/classic-sarovar-portico-thiruvananthapuram,/hotels-in-thiruvananthapuram/classic-sarovar-portico-thiruvananthapuram,200,
/classic-sarovar-portico-thiruvananthapuram/,/hotels-in-thiruvananthapuram/classic-sarovar-portico-thiruvananthapuram,308->404,"redirected to /classic-sarovar-portico-thiruvananthapuram, which itself failed"
/hotels/delite-sarovar-portico-faridabad,/hotels-in-faridabad/delite-sarovar-portico-faridabad,200,
/delite-sarovar-portico-faridabad/,/hotels-in-faridabad/delite-sarovar-portico-faridabad,308->404,"redirected to /delite-sarovar-portico-faridabad, which itself failed"
/hotels/deventure-sarovar-portico--kapashera-new-delhi,/hotels-in-delhi/deventure-sarovar-portico--kapashera-new-delhi,200,
/deventure-sarovar-portico--kapashera-new-delhi/,/hotels-in-delhi/deventure-sarovar-portico--kapashera-new-delhi,308->404,"redirected to /deventure-sarovar-portico--kapashera-new-delhi, which itself failed"
/hotels/geeta-sarovar-portico-hotels-panipat,/hotels-in-panipat/geeta-sarovar-portico-hotels-panipat,200,
/geeta-sarovar-portico-hotels-panipat/,/hotels-in-panipat/geeta-sarovar-portico-hotels-panipat,308->404,"redirected to /geeta-sarovar-portico-hotels-panipat, which itself failed"
/hotels/golden-tulip-agra,/hotels-in-agra/golden-tulip-agra,200,
/golden-tulip-agra/,/hotels-in-agra/golden-tulip-agra,308->404,"redirected to /golden-tulip-agra, which itself failed"
/hotels/golden-tulip-jalandhar,/hotels-in-jalandhar/golden-tulip-jalandhar,200,
/golden-tulip-jalandhar/,/hotels-in-jalandhar/golden-tulip-jalandhar,308->404,"redirected to /golden-tulip-jalandhar, which itself failed"
/hotels/golden-tulip-lucknow,/hotels-in-lucknow/golden-tulip-lucknow,200,
/golden-tulip-lucknow/,/hotels-in-lucknow/golden-tulip-lucknow,308->404,"redirected to /golden-tulip-lucknow, which itself failed"
/hotels/golden-tulip-sector-80-gurugram,/hotels-in-gurugram/golden-tulip-sector-80-gurugram,200,
/golden-tulip-sector-80-gurugram/,/hotels-in-gurugram/golden-tulip-sector-80-gurugram,308->404,"redirected to /golden-tulip-sector-80-gurugram, which itself failed"
/hotels/golden-tulip-srinagar,/hotels-in-srinagar/golden-tulip-srinagar,200,
/golden-tulip-srinagar/,/hotels-in-srinagar/golden-tulip-srinagar,308->404,"redirected to /golden-tulip-srinagar, which itself failed"
/hotels/royal-sarovar-portico-siliguri,/hotels-in-siliguri/royal-sarovar-portico-siliguri,200,
/royal-sarovar-portico-siliguri/,/hotels-in-siliguri/royal-sarovar-portico-siliguri,308->404,"redirected to /royal-sarovar-portico-siliguri, which itself failed"
/hotels/royal-tulip-kathmandu-shivapuri-national-park,/hotels-in-kathmandu/royal-tulip-kathmandu-shivapuri-national-park,200,
/royal-tulip-kathmandu-shivapuri-national-park/,/hotels-in-kathmandu/royal-tulip-kathmandu-shivapuri-national-park,308->404,"redirected to /royal-tulip-kathmandu-shivapuri-national-park, which itself failed"
/hotels/royal-tulip-kathmandu,/hotels-in-kathmandu/royal-tulip-kathmandu,200,
/royal-tulip-kathmandu/,/hotels-in-kathmandu/royal-tulip-kathmandu,308->404,"redirected to /royal-tulip-kathmandu, which itself failed"
/hotels/royale-sarovar-portico-agra,/hotels-in-agra/royale-sarovar-portico-agra,200,
/royale-sarovar-portico-agra/,/hotels-in-agra/royale-sarovar-portico-agra,308->404,"redirected to /royale-sarovar-portico-agra, which itself failed"
/hotels/rs-sarovar-portico-palampur,/hotels-in-palampur/rs-sarovar-portico-palampur,200,
/rs-sarovar-portico-palampur/,/hotels-in-palampur/rs-sarovar-portico-palampur,308->404,"redirected to /rs-sarovar-portico-palampur, which itself failed"
/hotels/sairafort-sarovar-portico-jaisalmer,/hotels-in-jaisalmer/sairafort-sarovar-portico-jaisalmer,200,
/sairafort-sarovar-portico-jaisalmer/,/hotels-in-jaisalmer/sairafort-sarovar-portico-jaisalmer,308->404,"redirected to /sairafort-sarovar-portico-jaisalmer, which itself failed"
/hotels/sarovar-ahmedabad,/hotels-in-ahmedabad/sarovar-ahmedabad,200,
/sarovar-ahmedabad/,/hotels-in-ahmedabad/sarovar-ahmedabad,308->404,"redirected to /sarovar-ahmedabad, which itself failed"
/hotels/sarovar-portico-hanumangarh,/hotels-in-hanumangarh/sarovar-portico-hanumangarh,200,
/sarovar-portico-hanumangarh/,/hotels-in-hanumangarh/sarovar-portico-hanumangarh,308->404,"redirected to /sarovar-portico-hanumangarh, which itself failed"
/hotels/sarovar-portico-jalandhar,/hotels-in-jalandhar/sarovar-portico-jalandhar,200,
/sarovar-portico-jalandhar/,/hotels-in-jalandhar/sarovar-portico-jalandhar,308->404,"redirected to /sarovar-portico-jalandhar, which itself failed"
/hotels/sarovar-portico-kolkata-rajarhat,/hotels-in-kolkata/sarovar-portico-kolkata-rajarhat,200,
/sarovar-portico-kolkata-rajarhat/,/hotels-in-kolkata/sarovar-portico-kolkata-rajarhat,308->404,"redirected to /sarovar-portico-kolkata-rajarhat, which itself failed"
/hotels/sarovar-portico-morbi,/hotels-in-morbi/sarovar-portico-morbi,200,
/sarovar-portico-morbi/,/hotels-in-morbi/sarovar-portico-morbi,308->404,"redirected to /sarovar-portico-morbi, which itself failed"
