type,documentId,field,in_db,rendered,issues
hotel,sr28j4o4s0502lkqya9j3nq1,name,true,true,
hotel,sr28j4o4s0502lkqya9j3nq1,description,true,true,
hotel,sr28j4o4s0502lkqya9j3nq1,address_line1,true,true,
hotel,sr28j4o4s0502lkqya9j3nq1,phone,true,true,
hotel,sr28j4o4s0502lkqya9j3nq1,brand.name,true,true,
hotel,sr28j4o4s0502lkqya9j3nq1,destination.city,true,true,
hotel,sr28j4o4s0502lkqya9j3nq1,check_in_time,true,true,
hotel,sr28j4o4s0502lkqya9j3nq1,check_out_time,true,true,
hotel,cq3x0k9ydpgaq8g63cr814a9,name,true,true,
hotel,cq3x0k9ydpgaq8g63cr814a9,description,true,true,
hotel,cq3x0k9ydpgaq8g63cr814a9,address_line1,true,true,
hotel,cq3x0k9ydpgaq8g63cr814a9,phone,true,true,
hotel,cq3x0k9ydpgaq8g63cr814a9,brand.name,true,true,
hotel,cq3x0k9ydpgaq8g63cr814a9,destination.city,true,true,
hotel,cq3x0k9ydpgaq8g63cr814a9,check_in_time,true,true,
hotel,cq3x0k9ydpgaq8g63cr814a9,check_out_time,true,true,
hotel,kj0pmuwptrnwwu7uieirolti,name,true,true,
hotel,kj0pmuwptrnwwu7uieirolti,description,true,true,
hotel,kj0pmuwptrnwwu7uieirolti,address_line1,true,true,
hotel,kj0pmuwptrnwwu7uieirolti,phone,true,true,
hotel,kj0pmuwptrnwwu7uieirolti,brand.name,true,true,
hotel,kj0pmuwptrnwwu7uieirolti,destination.city,true,true,
hotel,kj0pmuwptrnwwu7uieirolti,check_in_time,true,true,
hotel,kj0pmuwptrnwwu7uieirolti,check_out_time,true,true,
hotel,ln0gj8rlj4rxumo7x99iy8ve,name,true,true,
hotel,ln0gj8rlj4rxumo7x99iy8ve,description,true,true,
hotel,ln0gj8rlj4rxumo7x99iy8ve,address_line1,true,true,
hotel,ln0gj8rlj4rxumo7x99iy8ve,phone,true,true,
hotel,ln0gj8rlj4rxumo7x99iy8ve,brand.name,true,true,
hotel,ln0gj8rlj4rxumo7x99iy8ve,destination.city,true,true,
hotel,ln0gj8rlj4rxumo7x99iy8ve,check_in_time,true,true,
hotel,ln0gj8rlj4rxumo7x99iy8ve,check_out_time,true,true,
hotel,mw8ueg6zyc37gcywhrm1qmks,name,true,true,
hotel,mw8ueg6zyc37gcywhrm1qmks,description,true,true,
hotel,mw8ueg6zyc37gcywhrm1qmks,address_line1,true,true,
hotel,mw8ueg6zyc37gcywhrm1qmks,phone,true,true,
hotel,mw8ueg6zyc37gcywhrm1qmks,brand.name,true,true,
hotel,mw8ueg6zyc37gcywhrm1qmks,destination.city,true,true,
hotel,mw8ueg6zyc37gcywhrm1qmks,check_in_time,true,true,
hotel,mw8ueg6zyc37gcywhrm1qmks,check_out_time,true,true,
hotel,tuc0lt9c0l0na2pxpdrgpjcy,name,true,true,
