type,documentId,images_in_db,images_rendered,binding_rate,unbound_urls
hotel-gallery,sr28j4o4s0502lkqya9j3nq1,10,10,100.0%,
hotel-gallery,cq3x0k9ydpgaq8g63cr814a9,11,11,100.0%,
hotel-gallery,kj0pmuwptrnwwu7uieirolti,10,10,100.0%,
hotel-gallery,ln0gj8rlj4rxumo7x99iy8ve,10,10,100.0%,
hotel-gallery,mw8ueg6zyc37gcywhrm1qmks,10,10,100.0%,
hotel-gallery,tuc0lt9c0l0na2pxpdrgpjcy,10,10,100.0%,
hotel-gallery,ievhz3zi8m0wnimukmab9sf3,10,10,100.0%,
hotel-gallery,h956jqot2rkpm49hmtisj2y2,10,10,100.0%,
hotel-gallery,kjw454m5jgmcu0bczmcid856,56,48,"100.0% (8 beyond the 48-image page cap, excluded from this rate)",http://127.0.0.1:1337/uploads/hotel_salon_1784958282735_c8064776be.png|http://127.0.0.1:1337/uploads/hotel_spa_room_entrance_1784958284152_09f9094ba6.png|http://127.0.0.1:1337/uploads/hotel_spa_room_entrance1_1784958285854_9bcf1d5de6.png|http://127.0.0.1:1337/uploads/hotel_koshi_the_spa_1784958287388_819d71220a.png|http://127.0.0.1:1337/uploads/hotel_spa_bed_1784958288897_d1f546f124.png|http://127.0.0.1:1337/uploads/hotel_spa_bed_1_1784958290304_9375bc87ab.png|http://127.0.0.1:1337/uploads/hotel_therapy_room_1784958291809_5e8b41de6c.png|http://127.0.0.1:1337/uploads/hotel_couple_therapy_room_1784958293289_59571a6f57.png
hotel-gallery,vt2ug2ez0s8hya3j0oihwbrd,2,2,100.0%,
hotel-gallery,rqhof3eo3ccww1itbquu765a,2,2,100.0%,
hotel-gallery,glk2wfzrstdbocv6bpstqswh,41,41,100.0%,
hotel-gallery,in0kis219t8nbhztema6bsmn,30,30,100.0%,
hotel-gallery,xliva2mj2oisblywnnmzb4io,21,21,100.0%,
hotel-gallery,myzp4bufrciaeqa1f7hwnthq,48,48,100.0%,
hotel-gallery,jlgiovfnn7iwclcfq1tst38o,35,35,100.0%,
hotel-gallery,nheqorhkiaxribfpkk6qffzt,35,35,100.0%,
hotel-gallery,pi0kgqvv2mby22nmi5va3i5j,27,27,100.0%,
hotel-gallery,nj93qgtto0lgesdjc499yrd2,26,26,100.0%,
hotel-gallery,gl4vmpykhppii6cv6a6eutbz,22,22,100.0%,
hotel-gallery,oxljj6tebeltew10ljuqnbcs,40,40,100.0%,
hotel-gallery,zhdk257u85fi0awyg3tpxwrt,18,18,100.0%,
hotel-gallery,kyixj09apb6tuuo9448fzoto,42,42,100.0%,
hotel-gallery,a8yzgu7kccovpvtki1a8of7w,33,33,100.0%,
hotel-gallery,cvezpiutdrsntdy2ttr9vbwq,17,17,100.0%,
hotel-gallery,zbdydapaezsdchbhigwbzw71,53,48,"100.0% (5 beyond the 48-image page cap, excluded from this rate)",http://127.0.0.1:1337/uploads/Rooms_in_Bhavnagar_Efcee_Sarovar_Premiere_business_hotels_in_bhavnagar_1_1784958830867_c244e32e1d.png|http://127.0.0.1:1337/uploads/Spas_in_Bhavnagar_Efcee_Sarovar_Premiere_business_hotels_in_bhavnagar_1784958835397_e9b33ce0fd.png|http://127.0.0.1:1337/uploads/download_ky9wab_1784958839466_1ed9801754.png|http://127.0.0.1:1337/uploads/BAPS_Mandir_Mahuva_muyp51_1784958841560_9cefe74dcd.png|http://127.0.0.1:1337/uploads/Botad_begfd4_1784958846893_fa2455d496.png
hotel-gallery,eshvg3smsdhll8od16ofykzn,52,48,"100.0% (4 beyond the 48-image page cap, excluded from this rate)",http://127.0.0.1:1337/uploads/Neyyar_Hall_Renovated_fim4zo_1784958942919_4673fb05fe.png|http://127.0.0.1:1337/uploads/Pool_Near_Ayurveda_zmpvyd_1784958950500_6244e9b382.png|http://127.0.0.1:1337/uploads/Pool_With_Premium_Rooms_f7hsvc_1784958956076_22c0282f08.png|http://127.0.0.1:1337/uploads/Sports_Field_fycbdv_1784958962599_d4c643f20a.png
hotel-gallery,wwvbmh6fki9v5xfb9ifbdymi,49,48,"100.0% (1 beyond the 48-image page cap, excluded from this rate)",http://127.0.0.1:1337/uploads/pexels_markus_spiske_97047_uqsadz_1784959020163_6a45f5e4c7.png
hotel-gallery,kylyag77ozfu7dw4fge295xl,29,29,100.0%,
hotel-gallery,lrfe2tp0kn5yferboipi6fjc,35,35,100.0%,
hotel-gallery,bbjcv7jcjmz1n85wljcjftqj,13,13,100.0%,
hotel-gallery,cn1xygizaysd9wumjcv5exkl,15,15,100.0%,
