parent_type,parent_documentId,relation,db_count,rendered_count,pass
hotel,sr28j4o4s0502lkqya9j3nq1,rooms (listing page),4,0,false
hotel,sr28j4o4s0502lkqya9j3nq1,rooms (hotel root),4,0,false
hotel,sr28j4o4s0502lkqya9j3nq1,dinings (listing page),2,2,true
hotel,sr28j4o4s0502lkqya9j3nq1,dinings (hotel root),2,0,false
hotel,sr28j4o4s0502lkqya9j3nq1,banquets (listing page),2,2,true
hotel,sr28j4o4s0502lkqya9j3nq1,banquets (hotel root),2,2,true
hotel,sr28j4o4s0502lkqya9j3nq1,"hotel_galleries (gallery page, capped at 48)",10,11,true
hotel,cq3x0k9ydpgaq8g63cr814a9,rooms (listing page),6,0,false
hotel,cq3x0k9ydpgaq8g63cr814a9,rooms (hotel root),6,0,false
hotel,cq3x0k9ydpgaq8g63cr814a9,dinings (listing page),4,4,true
hotel,cq3x0k9ydpgaq8g63cr814a9,dinings (hotel root),4,0,false
hotel,cq3x0k9ydpgaq8g63cr814a9,banquets (listing page),2,2,true
hotel,cq3x0k9ydpgaq8g63cr814a9,banquets (hotel root),2,2,true
hotel,cq3x0k9ydpgaq8g63cr814a9,attractions (listing page),1,1,true
hotel,cq3x0k9ydpgaq8g63cr814a9,offers (hotel root),1,1,true
hotel,cq3x0k9ydpgaq8g63cr814a9,"hotel_galleries (gallery page, capped at 48)",11,12,true
hotel,kj0pmuwptrnwwu7uieirolti,rooms (listing page),4,0,false
hotel,kj0pmuwptrnwwu7uieirolti,rooms (hotel root),4,0,false
hotel,kj0pmuwptrnwwu7uieirolti,dinings (listing page),2,2,true
hotel,kj0pmuwptrnwwu7uieirolti,dinings (hotel root),2,0,false
hotel,kj0pmuwptrnwwu7uieirolti,banquets (listing page),2,2,true
hotel,kj0pmuwptrnwwu7uieirolti,banquets (hotel root),2,2,true
hotel,kj0pmuwptrnwwu7uieirolti,offers (hotel root),1,1,true
hotel,kj0pmuwptrnwwu7uieirolti,"hotel_galleries (gallery page, capped at 48)",10,11,true
