path,source_type,in_db,in_sitemap
/hotels/sarovar-premiere-delhi,hotel,true,false
/hotels/sarovar-premiere-delhi/rooms,hotel-listing,true,false
/hotels/sarovar-premiere-delhi/dining,hotel-listing,true,false
/hotels/sarovar-premiere-delhi/banquets,hotel-listing,true,false
/hotels/sarovar-premiere-delhi/gallery,hotel-listing,true,false
/hotels/sarovar-premiere-delhi/nearby,hotel-listing,true,false
/hotels/sarovar-portico-jaipur,hotel,true,true
/hotels/sarovar-portico-jaipur/rooms,hotel-listing,true,false
/hotels/sarovar-portico-jaipur/dining,hotel-listing,true,false
/hotels/sarovar-portico-jaipur/banquets,hotel-listing,true,false
/hotels/sarovar-portico-jaipur/gallery,hotel-listing,true,false
/hotels/sarovar-portico-jaipur/nearby,hotel-listing,true,false
/hotels/sarovar-premiere-goa-beach-resort,hotel,true,false
/hotels/sarovar-premiere-goa-beach-resort/rooms,hotel-listing,true,false
/hotels/sarovar-premiere-goa-beach-resort/dining,hotel-listing,true,false
/hotels/sarovar-premiere-goa-beach-resort/banquets,hotel-listing,true,false
/hotels/sarovar-premiere-goa-beach-resort/gallery,hotel-listing,true,false
/hotels/sarovar-premiere-goa-beach-resort/nearby,hotel-listing,true,false
/hotels/sarovar-portico-mumbai,hotel,true,false
/hotels/sarovar-portico-mumbai/rooms,hotel-listing,true,false
/hotels/sarovar-portico-mumbai/dining,hotel-listing,true,false
/hotels/sarovar-portico-mumbai/banquets,hotel-listing,true,false
/hotels/sarovar-portico-mumbai/gallery,hotel-listing,true,false
/hotels/sarovar-portico-mumbai/nearby,hotel-listing,true,false
/hotels/sarovar-regency-shimla,hotel,true,false
/hotels/sarovar-regency-shimla/rooms,hotel-listing,true,false
/hotels/sarovar-regency-shimla/dining,hotel-listing,true,false
/hotels/sarovar-regency-shimla/banquets,hotel-listing,true,false
/hotels/sarovar-regency-shimla/gallery,hotel-listing,true,false
/hotels/sarovar-regency-shimla/nearby,hotel-listing,true,false
/hotels/sarovar-regency-rishikesh,hotel,true,false
/hotels/sarovar-regency-rishikesh/rooms,hotel-listing,true,false
/hotels/sarovar-regency-rishikesh/dining,hotel-listing,true,false
/hotels/sarovar-regency-rishikesh/banquets,hotel-listing,true,false
/hotels/sarovar-regency-rishikesh/gallery,hotel-listing,true,false
/hotels/sarovar-regency-rishikesh/nearby,hotel-listing,true,false
/hotels/sarovar-portico-delhi-aerocity,hotel,true,false
/hotels/sarovar-portico-delhi-aerocity/rooms,hotel-listing,true,false
/hotels/sarovar-portico-delhi-aerocity/dining,hotel-listing,true,false
/hotels/sarovar-portico-delhi-aerocity/banquets,hotel-listing,true,false
/hotels/sarovar-portico-delhi-aerocity/gallery,hotel-listing,true,false
/hotels/sarovar-portico-delhi-aerocity/nearby,hotel-listing,true,false
/hotels/sarovar-premiere-jaipur-heritage,hotel,true,false
/hotels/sarovar-premiere-jaipur-heritage/rooms,hotel-listing,true,false
/hotels/sarovar-premiere-jaipur-heritage/dining,hotel-listing,true,false
/hotels/sarovar-premiere-jaipur-heritage/banquets,hotel-listing,true,false
/hotels/sarovar-premiere-jaipur-heritage/gallery,hotel-listing,true,false
/hotels/sarovar-premiere-jaipur-heritage/nearby,hotel-listing,true,false
/hotels/abn-sarovar-portico-jim-corbett,hotel,true,true
/hotels/abn-sarovar-portico-jim-corbett/rooms,hotel-listing,true,false
/hotels/abn-sarovar-portico-jim-corbett/dining,hotel-listing,true,false
/hotels/abn-sarovar-portico-jim-corbett/banquets,hotel-listing,true,false
/hotels/abn-sarovar-portico-jim-corbett/gallery,hotel-listing,true,false
/hotels/abn-sarovar-portico-jim-corbett/nearby,hotel-listing,true,false
/hotels/nidhivan-sarovar-portico-vrindavan,hotel,true,true
/hotels/nidhivan-sarovar-portico-vrindavan/rooms,hotel-listing,true,false
/hotels/nidhivan-sarovar-portico-vrindavan/dining,hotel-listing,true,false
/hotels/nidhivan-sarovar-portico-vrindavan/banquets,hotel-listing,true,false
/hotels/nidhivan-sarovar-portico-vrindavan/gallery,hotel-listing,true,false
/hotels/nidhivan-sarovar-portico-vrindavan/nearby,hotel-listing,true,false
/hotels/marigold-sarovar-portico-mashobra-shimla,hotel,true,true
/hotels/marigold-sarovar-portico-mashobra-shimla/rooms,hotel-listing,true,false
/hotels/marigold-sarovar-portico-mashobra-shimla/dining,hotel-listing,true,false
/hotels/marigold-sarovar-portico-mashobra-shimla/banquets,hotel-listing,true,false
/hotels/marigold-sarovar-portico-mashobra-shimla/gallery,hotel-listing,true,false
/hotels/marigold-sarovar-portico-mashobra-shimla/nearby,hotel-listing,true,false
